team_key,espn_teams,odds_teams
Cruzeiro,Cruzeiro,Cruzeiro
Cruzeiro S20,Cruzeiro S20,
Crystal Palace,Crystal Palace,Crystal Palace
CSKA Moscow,CSKA Moscow,
CSKA Moscú,CSKA Moscú,
Cuba,Cuba,
Cúcuta Deportivo,Cúcuta Deportivo,
Cuiabá,Cuiabá,Cuiabá
Cuiabá U20,Cuiabá U20,
Cumbayá,Cumbayá,
Curacao,Curacao,
Cusco FC,Cusco FC,
Cyprus,Cyprus,
Czechia,Czechia,
D.C. United,D.C. United,D.C. United
Danubio,Danubio,
De Graafschap,De Graafschap,
Defensa y Justicia,Defensa y Justicia,Defensa y Justicia
Defensor Sporting,Defensor Sporting,
Defensores de Belgrano,Defensores de Belgrano,
Defensores Unidos,Defensores Unidos,
Delfín,Delfín,
Dender,Dender,Dender
Denmark,Denmark,
Denmark U19,Denmark U19,
Deportes Iquique,Deportes Iquique,Deportes Iquique
Deportes Quindío,Deportes Quindío,
Deportes Tolima,Deportes Tolima,
Deportivo Armenio,Deportivo Armenio,
Deportivo Cali,Deportivo Cali,
Deportivo Cuenca,Deportivo Cuenca,
Deportivo de La Coruña,Deportivo de La Coruña,
Deportivo Español,Deportivo Español,
Deportivo Garcilaso,Deportivo Garcilaso,
Deportivo La Coruña,Deportivo La Coruña,Deportivo La Coruña
Deportivo La Guaira,Deportivo La Guaira,
Deportivo Laferrere,Deportivo Laferrere,
Deportivo Madryn,Deportivo Madryn,
Deportivo Maipú,Deportivo Maipú,
Deportivo Maldonado,Deportivo Maldonado,
Deportivo Merlo,Deportivo Merlo,
Deportivo Mixco,Deportivo Mixco,
Deportivo Morón,Deportivo Morón,
Deportivo Paraguayo,Deportivo Paraguayo,
Deportivo Pasto,Deportivo Pasto,
Deportivo Pereira,Deportivo Pereira,
Deportivo Rayo Zuliano,Deportivo Rayo Zuliano,
Deportivo Riestra,Deportivo Riestra,Deportivo Riestra
Deportivo Táchira,Deportivo Táchira,
Derby County,Derby County,Derby County
Dinamo Moscow,Dinamo Moscow,
Dinamo Zagreb,Dinamo Zagreb,Dinamo Zagreb
Dock Sud,Dock Sud,
Dominica,Dominica,
Dominican Republic,Dominican Republic,
Doncaster Rovers,Doncaster Rovers,Doncaster Rovers
Dorados de Sinaloa,Dorados de Sinaloa,
Dundee,Dundee,Dundee FC
Dundee United,Dundee United,Dundee United
Dunfermline Athletic,Dunfermline Athletic,
Dunkerque,Dunkerque,USL Dunkerque
Durban City,Durban City,
Dynamo Dresden,Dynamo Dresden,Dynamo Dresden
Dynamo Kyiv,Dynamo Kyiv,Dynamo Kyiv
Dynamo Makhachkala,Dynamo Makhachkala,
Ecuador,Ecuador,
EF Dolorense,EF Dolorense,
Egipto S23,Egipto S23,
Eibar,Eibar,SD Eibar
Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt
El Nacional,El Nacional,
El Porvenir,El Porvenir,
El Salvador,El Salvador,
Elche,Elche,Elche
Eldense,Eldense,CD Eldense
Emelec,Emelec,
Empoli,Empoli,Empoli
Energie Cottbus,Energie Cottbus,
England,England,
Envigado,Envigado,
Espanyol,Espanyol,Espanyol
España,España,
España S23,España S23,
Estados Unidos,Estados Unidos,
Estados Unidos S23,Estados Unidos S23,
Esteghlal,Esteghlal,
Estonia,Estonia,
Estoril,Estoril,Estoril
Estrela,Estrela,CF Estrela
Estudiantes (Buenos Aires),Estudiantes (Buenos Aires),
Estudiantes de La Plata,Estudiantes de La Plata,Estudiantes
Estudiantes de Mérida,Estudiantes de Mérida,
Estudiantes de Río Cuarto,Estudiantes de Río Cuarto,
Everton,Everton,Everton
Everton CD,Everton CD,Everton de Viña del Mar
Excelsior,Excelsior,
Excursionistas,Excursionistas,
Exeter City,Exeter City,Exeter City
Eyupspor,Eyupspor,Eyüpspor
Fakel Voronezh,Fakel Voronezh,
Falkirk,Falkirk,
Faroe Islands,Faroe Islands,
FC 08 Villingen,FC 08 Villingen,
FC Augsburg,FC Augsburg,Augsburg
FC Carl Zeiss Jena,FC Carl Zeiss Jena,
FC Cartagena,FC Cartagena,FC Cartagena
FC Cincinnati,FC Cincinnati,FC Cincinnati
FC Cologne,FC Cologne,1. FC Köln
FC Dallas,FC Dallas,FC Dallas
FC Den Bosch,FC Den Bosch,
FC Dordrecht,FC Dordrecht,
FC Eindhoven,FC Eindhoven,
FC Emmen,FC Emmen,
FC Erzgebirge Aue,FC Erzgebirge Aue,
FC Famalicao,FC Famalicao,
FC Groningen,FC Groningen,Groningen
FC Ingolstadt 04,FC Ingolstadt 04,FC Ingolstadt 04
FC Juarez,FC Juarez,FC Juárez
FC Khimki,FC Khimki,
FC Liefering,FC Liefering,
FC Midtjylland,FC Midtjylland,FC Midtjylland
FC Porto,FC Porto,FC Porto
FC Tokyo,FC Tokyo,FC Tokyo
FC Twente,FC Twente,FC Twente Enschede
FC Utrecht,FC Utrecht,FC Utrecht
FC Viktoria 1889 Berlin,FC Viktoria 1889 Berlin,
FC Volendam,FC Volendam,
FCSB,FCSB,FCSB
Fenerbahce,Fenerbahce,Fenerbahce
Fénix,Fénix,
Ferencvaros,Ferencvaros,
Ferro Carril Oeste,Ferro Carril Oeste,
Feyenoord Rotterdam,Feyenoord Rotterdam,Feyenoord
Fiji,Fiji,
Finland,Finland,
Fiorentina,Fiorentina,Fiorentina
FK Qarabag,FK Qarabag,
Flamengo,Flamengo,Flamengo
Flamengo S20,Flamengo S20,
Flamengo U20,Flamengo U20,
Flandria,Flandria,
Fleetwood Town,Fleetwood Town,Fleetwood Town
Fluminense,Fluminense,Fluminense
Fluminense S20,Fluminense S20,
Fortaleza,Fortaleza,Fortaleza
Fortaleza CEIF,Fortaleza CEIF,
Fortaleza S20,Fortaleza S20,
Fortuna Düsseldorf,Fortuna Düsseldorf,Fortuna Düsseldorf
Fortuna Sittard,Fortuna Sittard,Fortuna Sittard
France,France,
France U19,France U19,
Francia,Francia,
Francia S23,Francia S23,
French Guiana,French Guiana,
Frosinone,Frosinone,Frosinone
Fuerte San Francisco,Fuerte San Francisco,
Fulham,Fulham,Fulham
Galatasaray,Galatasaray,Galatasaray
Gamba Osaka,Gamba Osaka,Gamba Osaka
Gaziantep FK,Gaziantep FK,Gazişehir Gaziantep
Gazovik Orenburg,Gazovik Orenburg,
Genclerbirligi,Genclerbirligi,
General Caballero JLM,General Caballero JLM,
General Lamadrid,General Lamadrid,
Genoa,Genoa,Genoa
Génova,Génova,Genoa
Georgia,Georgia,
Germany,Germany,
Getafe,Getafe,Getafe
Gibraltar,Gibraltar,
Gil Vicente,Gil Vicente,Gil Vicente
Gillingham,Gillingham,Gillingham
Gimnasia (Mendoza),Gimnasia (Mendoza),
Gimnasia La Plata,Gimnasia La Plata,Gimnasia La Plata
Gimnasia y Esgrima (Jujuy),Gimnasia y Esgrima (Jujuy),
